title,price,sold,location,link,category_link
basreng sultan bandung 1kg viral tiktok pedas daun jeruk cabe asli,35.000,10RB+ Terjual,KAB. BANDUNG,https://shopee.co.id/basreng-sultan-bandung-1kg-viral-tiktok-pedas-daun-jeruk-cabe-asli-i.96888762.23181397163?sp_atk=b84c2deb-ac8a-4896-93dc-7826fc3ae1f1&xptdk=b84c2deb-ac8a-4896-93dc-7826fc3ae1f1,https://shopee.co.id/Makanan-Minuman-cat.11043451
Grandville Abon Original / abon anak No MSG halal mpasi Penambah Nafsu Makan Penambah Berat Badan BB Booster MPASI Bayi Anti GTM,37.500,10RB+ Terjual,KOTA DEPOK,https://shopee.co.id/Grandville-Abon-Original-abon-anak-No-MSG-halal-mpasi-Penambah-Nafsu-Makan-Penambah-Berat-Badan-BB-Booster-MPASI-Bayi-Anti-GTM-i.3343006.4289921241?sp_atk=bce0a1ec-cc92-4975-8942-67913640cfb8&xptdk=bce0a1ec-cc92-4975-8942-67913640cfb8,https://shopee.co.id/Makanan-Minuman-cat.11043451
MINYAK GORENG SUNCO 500 ML,9.900,10RB+ Terjual,KOTA DEPOK,https://shopee.co.id/MINYAK-GORENG-SUNCO-500-ML-i.1060433029.22358230122?sp_atk=fa0f717d-094b-49bc-a85d-b88b1944ad9e&xptdk=fa0f717d-094b-49bc-a85d-b88b1944ad9e,https://shopee.co.id/Makanan-Minuman-cat.11043451
BASRENG ORIGINAL MURAH VIRAL TIKTOK PEDAS DAUN JERUK ISI 250GRAM original bakso goreng bangsreng murah,19.999,10RB+ Terjual,KAB. MOJOKERTO,https://shopee.co.id/BASRENG-ORIGINAL-MURAH-VIRAL-TIKTOK-PEDAS-DAUN-JERUK-ISI-250GRAM-original-bakso-goreng-bangsreng-murah-i.255400685.19349147293?sp_atk=e8021c14-bee0-4932-a201-7c6fb5f4d8e3&xptdk=e8021c14-bee0-4932-a201-7c6fb5f4d8e3,https://shopee.co.id/Makanan-Minuman-cat.11043451
Basreng Stik Pedas Daun Jeruk 1kg,30.000,10RB+ Terjual,KAB. BANDUNG,https://shopee.co.id/Basreng-Stik-Pedas-Daun-Jeruk-1kg-i.302885991.21972302201?sp_atk=e22ca714-96c2-4c88-af26-651d63bed95c&xptdk=e22ca714-96c2-4c88-af26-651d63bed95c,https://shopee.co.id/Makanan-Minuman-cat.11043451
[Halal] Wulama Latiao Ukuran Jumbo 100gr,13.900,2RB Terjual,KOTA JAKARTA UTARA,https://shopee.co.id/-Halal-Wulama-Latiao-Ukuran-Jumbo-100gr-i.63779390.25909382009?sp_atk=bba1bbb9-5d1f-402c-90a7-2004fac3a6f9&xptdk=bba1bbb9-5d1f-402c-90a7-2004fac3a6f9,https://shopee.co.id/Makanan-Minuman-cat.11043451
(Halal)100g Wulama Latiao/Latiao/Tendon/Vegetarian/Snack China Halal,13.900,10RB+ Terjual,KOTA JAKARTA UTARA,https://shopee.co.id/(Halal)100g-Wulama-Latiao-Latiao-Tendon-Vegetarian-Snack-China-Halal-i.1019605989.21291779899?sp_atk=fc84f658-0c69-4c01-aaf9-b6ea7f0571ec&xptdk=fc84f658-0c69-4c01-aaf9-b6ea7f0571ec,https://shopee.co.id/Makanan-Minuman-cat.11043451
basreng sultan pedas jeruk isi 500gr viral tik tok,22.999,"3,7RB Terjual",KAB. BANDUNG,https://shopee.co.id/basreng-sultan-pedas-jeruk-isi-500gr-viral-tik-tok-i.853942510.22858423865?sp_atk=6baa2b21-40a4-467d-b9d8-780cf2e3217e&xptdk=6baa2b21-40a4-467d-b9d8-780cf2e3217e,https://shopee.co.id/Makanan-Minuman-cat.11043451
[BISA COD] Minyak Goreng Bening Sunco 500ML bisa COD EXP LAMA Bahan Sawit pilihan,12.275,993 Terjual,KAB. BOGOR,https://shopee.co.id/-BISA-COD-Minyak-Goreng-Bening-Sunco-500ML-bisa-COD-EXP-LAMA-Bahan-Sawit-pilihan-i.998029894.21595925445?sp_atk=552d172c-830d-4973-8afe-34b49f49c960&xptdk=552d172c-830d-4973-8afe-34b49f49c960,https://shopee.co.id/Makanan-Minuman-cat.11043451
Collins Choco Crunchy 350g  / Collins Selai Donat / Selai Roti / Toping Donat Collins / Selai Donat,17.999,"6,6RB Terjual",KAB. BEKASI,https://shopee.co.id/Collins-Choco-Crunchy-350g-Collins-Selai-Donat-Selai-Roti-Toping-Donat-Collins-Selai-Donat-i.76526080.22284863470?sp_atk=8af834a6-dcc4-4efc-ac44-d259ab763874&xptdk=8af834a6-dcc4-4efc-ac44-d259ab763874,https://shopee.co.id/Makanan-Minuman-cat.11043451
