title,price,sold,location,link
HALAL-Netflix (JINGFENG)  LATIAO Tendon Daging Sapi Pedas Jangan pernah bosan dengan rasa klasik Hiburan Hiburan Makanan Sehat Makanan Ringan Impor Cina,9.800,71 Terjual,KAB. GRESIK,https://shopee.co.id/HALAL-Netflix-(JINGFENG)-LATIAO-Tendon-Daging-Sapi-Pedas-Jangan-pernah-bosan-dengan-rasa-klasik-Hiburan-Hiburan-Makanan-Sehat-Makanan-Ringan-Impor-Cina-i.1086180507.22382519188?sp_atk=f2f6e7a6-330c-439e-a497-ae2d5e6562b3&xptdk=f2f6e7a6-330c-439e-a497-ae2d5e6562b3
"YumBites Macaroni Crispy - Makaroni Krispi Cemilan Diet Snack Makanan Sehat - Vegan, Gluten Free",35.000,181 Terjual,KOTA JAKARTA UTARA,https://shopee.co.id/YumBites-Macaroni-Crispy-Makaroni-Krispi-Cemilan-Diet-Snack-Makanan-Sehat-Vegan-Gluten-Free-i.1003447377.23068553536?sp_atk=a932e5d9-426c-46c2-9234-673ff095f031&xptdk=a932e5d9-426c-46c2-9234-673ff095f031
Coklat Chocodot Update Series Penangkal Bucin 50g,9.750,31 Terjual,KAB. GARUT,https://shopee.co.id/Coklat-Chocodot-Update-Series-Penangkal-Bucin-50g-i.225726154.25108534022?sp_atk=4f7326bf-f3fe-41a2-a044-bd210998f281&xptdk=4f7326bf-f3fe-41a2-a044-bd210998f281
TRIPLE Almond Crispy Cheese Greentea PUNPUN,165.000,92 Terjual,KOTA SURABAYA,https://shopee.co.id/TRIPLE-Almond-Crispy-Cheese-Greentea-PUNPUN-i.127951800.11049855364?sp_atk=8f835e8b-3a67-4e87-97a2-32f71843aae7&xptdk=8f835e8b-3a67-4e87-97a2-32f71843aae7
Beryls Chocolate Coklat Durian Import Malaysia Snack Import Makanan Import,42.299,481 Terjual,KOTA JAKARTA BARAT,https://shopee.co.id/Beryls-Chocolate-Coklat-Durian-Import-Malaysia-Snack-Import-Makanan-Import-i.156266096.22538430057?sp_atk=2fab10ca-bcc4-4f3c-98dc-6b2f05aa7bd8&xptdk=2fab10ca-bcc4-4f3c-98dc-6b2f05aa7bd8
ROYAL FAMILY MOCHI TAIWAN STRAWBERRY MATCHA TARO MILK RED BEAN BUBBLE MILK TEA MOCHI SNACK MAKANAN MINUMAN IMPOR MALAYSIA PRODUK PRODUCT TAIWAN,48.800,614 Terjual,KOTA PONTIANAK,https://shopee.co.id/ROYAL-FAMILY-MOCHI-TAIWAN-STRAWBERRY-MATCHA-TARO-MILK-RED-BEAN-BUBBLE-MILK-TEA-MOCHI-SNACK-MAKANAN-MINUMAN-IMPOR-MALAYSIA-PRODUK-PRODUCT-TAIWAN-i.34546648.14091206156?sp_atk=ecf5f615-2797-4f08-a191-f38686d92c08&xptdk=ecf5f615-2797-4f08-a191-f38686d92c08
[HALAL] JING FENG Latiao 18g Tendon Makanan Ringan Impor Produk Kedelai Makanan Pedas (Cemilan Snack VIRAL) la tiao,6.500,48 Terjual,KAB. GRESIK,https://shopee.co.id/-HALAL-JING-FENG-Latiao-18g-Tendon-Makanan-Ringan-Impor-Produk-Kedelai-Makanan-Pedas-(Cemilan-Snack-VIRAL)-la-tiao-i.1021019937.25003986017?sp_atk=0c39d6ce-7b5e-4956-80ab-7a7a99d76128&xptdk=0c39d6ce-7b5e-4956-80ab-7a7a99d76128
Makanan India Paket Pani Puri / Makanan Import,95.000,179 Terjual,KOTA JAKARTA UTARA,https://shopee.co.id/Makanan-India-Paket-Pani-Puri-Makanan-Import-i.354571.7557380401?sp_atk=9319b3f3-e4c3-4fa8-bda8-4ee7fb874a6c&xptdk=9319b3f3-e4c3-4fa8-bda8-4ee7fb874a6c
[HALAL] JING FENG Latiao 18g Tendon Makanan Ringan Impor Produk Kedelai Makanan Pedas (Cemilan Snack VIRAL) la tiao,6.300,40 Terjual,KAB. GRESIK,https://shopee.co.id/-HALAL-JING-FENG-Latiao-18g-Tendon-Makanan-Ringan-Impor-Produk-Kedelai-Makanan-Pedas-(Cemilan-Snack-VIRAL)-la-tiao-i.1021022396.24403317357?sp_atk=1d0aa3b4-6bb6-4227-96b6-f290d3bc97f8&xptdk=1d0aa3b4-6bb6-4227-96b6-f290d3bc97f8
MAKANAN SYLLE.JAJAN • IMPORT 02,45.000,19 Terjual,KOTA BANDUNG,https://shopee.co.id/MAKANAN-SYLLE.JAJAN-•-IMPORT-02-i.131811769.23351565346?sp_atk=509143e2-e029-450f-bef2-cfd4c2bb4a24&xptdk=509143e2-e029-450f-bef2-cfd4c2bb4a24
