title,price,sold,location,link,category_link,preprocessed_text
basreng sultan bandung 1kg viral tiktok pedas daun jeruk cabe asli,35.000,10RB+ Terjual,KAB. BANDUNG,https://shopee.co.id/basreng-sultan-bandung-1kg-viral-tiktok-pedas-daun-jeruk-cabe-asli-i.96888762.23181397163?sp_atk=b84c2deb-ac8a-4896-93dc-7826fc3ae1f1&xptdk=b84c2deb-ac8a-4896-93dc-7826fc3ae1f1,https://shopee.co.id/Makanan-Minuman-cat.11043451,basreng sultan bandung kg viral tiktok pedas daun jeruk cabe asli
Grandville Abon Original / abon anak No MSG halal mpasi Penambah Nafsu Makan Penambah Berat Badan BB Booster MPASI Bayi Anti GTM,37.500,10RB+ Terjual,KOTA DEPOK,https://shopee.co.id/Grandville-Abon-Original-abon-anak-No-MSG-halal-mpasi-Penambah-Nafsu-Makan-Penambah-Berat-Badan-BB-Booster-MPASI-Bayi-Anti-GTM-i.3343006.4289921241?sp_atk=bce0a1ec-cc92-4975-8942-67913640cfb8&xptdk=bce0a1ec-cc92-4975-8942-67913640cfb8,https://shopee.co.id/Makanan-Minuman-cat.11043451,grandville abon original abon anak no msg halal mpasi tambah nafsu makan tambah berat badan bb booster mpasi bayi anti gtm
MINYAK GORENG SUNCO 500 ML,9.900,10RB+ Terjual,KOTA DEPOK,https://shopee.co.id/MINYAK-GORENG-SUNCO-500-ML-i.1060433029.22358230122?sp_atk=fa0f717d-094b-49bc-a85d-b88b1944ad9e&xptdk=fa0f717d-094b-49bc-a85d-b88b1944ad9e,https://shopee.co.id/Makanan-Minuman-cat.11043451,minyak goreng sunco ml
BASRENG ORIGINAL MURAH VIRAL TIKTOK PEDAS DAUN JERUK ISI 250GRAM original bakso goreng bangsreng murah,19.999,10RB+ Terjual,KAB. MOJOKERTO,https://shopee.co.id/BASRENG-ORIGINAL-MURAH-VIRAL-TIKTOK-PEDAS-DAUN-JERUK-ISI-250GRAM-original-bakso-goreng-bangsreng-murah-i.255400685.19349147293?sp_atk=e8021c14-bee0-4932-a201-7c6fb5f4d8e3&xptdk=e8021c14-bee0-4932-a201-7c6fb5f4d8e3,https://shopee.co.id/Makanan-Minuman-cat.11043451,basreng original murah viral tiktok pedas daun jeruk isi gram original bakso goreng bangsreng murah
Basreng Stik Pedas Daun Jeruk 1kg,30.000,10RB+ Terjual,KAB. BANDUNG,https://shopee.co.id/Basreng-Stik-Pedas-Daun-Jeruk-1kg-i.302885991.21972302201?sp_atk=e22ca714-96c2-4c88-af26-651d63bed95c&xptdk=e22ca714-96c2-4c88-af26-651d63bed95c,https://shopee.co.id/Makanan-Minuman-cat.11043451,basreng stik pedas daun jeruk kg
[Halal] Wulama Latiao Ukuran Jumbo 100gr,13.900,2RB Terjual,KOTA JAKARTA UTARA,https://shopee.co.id/-Halal-Wulama-Latiao-Ukuran-Jumbo-100gr-i.63779390.25909382009?sp_atk=bba1bbb9-5d1f-402c-90a7-2004fac3a6f9&xptdk=bba1bbb9-5d1f-402c-90a7-2004fac3a6f9,https://shopee.co.id/Makanan-Minuman-cat.11043451,halal wulama latiao ukur jumbo gr
(Halal)100g Wulama Latiao/Latiao/Tendon/Vegetarian/Snack China Halal,13.900,10RB+ Terjual,KOTA JAKARTA UTARA,https://shopee.co.id/(Halal)100g-Wulama-Latiao-Latiao-Tendon-Vegetarian-Snack-China-Halal-i.1019605989.21291779899?sp_atk=fc84f658-0c69-4c01-aaf9-b6ea7f0571ec&xptdk=fc84f658-0c69-4c01-aaf9-b6ea7f0571ec,https://shopee.co.id/Makanan-Minuman-cat.11043451,halalg wulama latiaolatiaotendonvegetariansnack china halal
basreng sultan pedas jeruk isi 500gr viral tik tok,22.999,"3,7RB Terjual",KAB. BANDUNG,https://shopee.co.id/basreng-sultan-pedas-jeruk-isi-500gr-viral-tik-tok-i.853942510.22858423865?sp_atk=6baa2b21-40a4-467d-b9d8-780cf2e3217e&xptdk=6baa2b21-40a4-467d-b9d8-780cf2e3217e,https://shopee.co.id/Makanan-Minuman-cat.11043451,basreng sultan pedas jeruk isi gr viral tik tok
[BISA COD] Minyak Goreng Bening Sunco 500ML bisa COD EXP LAMA Bahan Sawit pilihan,12.275,993 Terjual,KAB. BOGOR,https://shopee.co.id/-BISA-COD-Minyak-Goreng-Bening-Sunco-500ML-bisa-COD-EXP-LAMA-Bahan-Sawit-pilihan-i.998029894.21595925445?sp_atk=552d172c-830d-4973-8afe-34b49f49c960&xptdk=552d172c-830d-4973-8afe-34b49f49c960,https://shopee.co.id/Makanan-Minuman-cat.11043451,cod minyak goreng bening sunco ml cod exp bahan sawit pilih
Collins Choco Crunchy 350g  / Collins Selai Donat / Selai Roti / Toping Donat Collins / Selai Donat,17.999,"6,6RB Terjual",KAB. BEKASI,https://shopee.co.id/Collins-Choco-Crunchy-350g-Collins-Selai-Donat-Selai-Roti-Toping-Donat-Collins-Selai-Donat-i.76526080.22284863470?sp_atk=8af834a6-dcc4-4efc-ac44-d259ab763874&xptdk=8af834a6-dcc4-4efc-ac44-d259ab763874,https://shopee.co.id/Makanan-Minuman-cat.11043451,collins choco crunchy g collins selai donat selai roti toping donat collins selai donat
Baso aci isi 12pcs / baso Aci isi 12pcs murah / baso Aci paket 12 pcs murah / baso aci viral / baso aci paket usaha / paket baso aci 12 bungkus / paket baso Aci 12 bungkus murah,30.200,"3,6RB Terjual",KAB. BANDUNG,https://shopee.co.id/Baso-aci-isi-12pcs-baso-Aci-isi-12pcs-murah-baso-Aci-paket-12-pcs-murah-baso-aci-viral-baso-aci-paket-usaha-paket-baso-aci-12-bungkus-paket-baso-Aci-12-bungkus-murah-i.1155586269.24157687977?sp_atk=486afb74-3289-4eaa-82bf-199bb1f9ed36&xptdk=486afb74-3289-4eaa-82bf-199bb1f9ed36,https://shopee.co.id/Makanan-Minuman-cat.11043451,baso aci isi pcs baso aci isi pcs murah baso aci paket pcs murah baso aci viral baso aci paket usaha paket baso aci bungkus paket baso aci bungkus murah
NORI RUMPUT LAUT  KEMASAN BOX 500ML PRODUK UMKM,10.900,10RB+ Terjual,KAB. TANGERANG,https://shopee.co.id/NORI-RUMPUT-LAUT-KEMASAN-BOX-500ML-PRODUK-UMKM-i.275668219.23832022772?sp_atk=db64b90f-6825-40a6-bc85-bf9e9059dca6&xptdk=db64b90f-6825-40a6-bc85-bf9e9059dca6,https://shopee.co.id/Makanan-Minuman-cat.11043451,nori rumput laut kemas box ml produk umkm
Kue Keranjang Imlek Cina / Dodol Cina / Nian Gao / Thiam Pan / Ny. Tjong Ukuran 250 Gram,39.899,"6,1RB Terjual",KOTA JAKARTA UTARA,https://shopee.co.id/Kue-Keranjang-Imlek-Cina-Dodol-Cina-Nian-Gao-Thiam-Pan-Ny.-Tjong-Ukuran-250-Gram-i.127449165.5175471449?sp_atk=7d99f375-2ab9-4d76-8bd3-d0449178c1e9&xptdk=7d99f375-2ab9-4d76-8bd3-d0449178c1e9,https://shopee.co.id/Makanan-Minuman-cat.11043451,kue keranjang imlek cina dodol cina nian gao thiam pan ny tjong ukur gram
"Jagung Popcorn PREMIUM MURAH Repack 1 KG, 500gr, 250gr",19.200,10RB+ Terjual,KOTA BEKASI,https://shopee.co.id/Jagung-Popcorn-PREMIUM-MURAH-Repack-1-KG-500gr-250gr-i.146946052.12077407311?sp_atk=ecdf284b-c9f0-49e5-a88a-23e6711f5d79&xptdk=ecdf284b-c9f0-49e5-a88a-23e6711f5d79,https://shopee.co.id/Makanan-Minuman-cat.11043451,jagung popcorn premium murah repack kg gr gr
BASO ACI HOMEMADE boci isi12 bakso aci termurah ayam suir bapper bocirat beranak kriwil bocimak nyos sajodo snack umang,5.280,10RB+ Terjual,KOTA SURABAYA,https://shopee.co.id/BASO-ACI-HOMEMADE-boci-isi12-bakso-aci-termurah-ayam-suir-bapper-bocirat-beranak-kriwil-bocimak-nyos-sajodo-snack-umang-i.703165577.21901183070?sp_atk=cecaf637-57e3-40f4-b487-a669a39fea2b&xptdk=cecaf637-57e3-40f4-b487-a669a39fea2b,https://shopee.co.id/Makanan-Minuman-cat.11043451,baso aci homemade boci isi bakso aci murah ayam suir bapper bocirat anak kriwil bocimak nyos sajodo snack umang
BOX BASRENG RENDANG 250 GRAM,35.789,10RB+ Terjual,KAB. BANDUNG,https://shopee.co.id/BOX-BASRENG-RENDANG-250-GRAM-i.70550410.23182831258?sp_atk=636f20bc-f878-44ce-8dd1-4d334d15c390&xptdk=636f20bc-f878-44ce-8dd1-4d334d15c390,https://shopee.co.id/Makanan-Minuman-cat.11043451,box basreng rendang gram
500gr KERIPIK USUS AYAM CRISPY,30.450,10RB+ Terjual,KOTA SURABAYA,https://shopee.co.id/500gr-KERIPIK-USUS-AYAM-CRISPY-i.5751013.21920480013?sp_atk=d1f48f64-9fe5-467c-b275-f660a6613686&xptdk=d1f48f64-9fe5-467c-b275-f660a6613686,https://shopee.co.id/Makanan-Minuman-cat.11043451,gr keripik usus ayam crispy
Nutrijell Pudding Susu - ALL VARIANT,8.500,10RB+ Terjual,KOTA JAKARTA TIMUR,https://shopee.co.id/Nutrijell-Pudding-Susu-ALL-VARIANT-i.315384165.22861388346?sp_atk=d8df7b23-e7d4-4d78-aa86-66cf105d4875&xptdk=d8df7b23-e7d4-4d78-aa86-66cf105d4875,https://shopee.co.id/Makanan-Minuman-cat.11043451,nutrijell pudding susu all variant
Royco Bumbu Kadu Penyedap Rasa Ayam Beryodium 220g (Isi 24),179.400,10RB+ Terjual,KOTA SEMARANG,https://shopee.co.id/Royco-Bumbu-Kadu-Penyedap-Rasa-Ayam-Beryodium-220g-(Isi-24)-i.14318452.19688071894?sp_atk=a525b559-bb34-4d1d-9e2b-af001b68a2ae&xptdk=a525b559-bb34-4d1d-9e2b-af001b68a2ae,https://shopee.co.id/Makanan-Minuman-cat.11043451,royco bumbu kadu sedap ayam yodium g isi
promo basreng 100gr bumbu melimpah,4.550,"8,1RB Terjual",KOTA MEDAN,https://shopee.co.id/promo-basreng-100gr-bumbu-melimpah-i.835963868.21279214127?sp_atk=136d5f04-ac9c-40d7-9208-ecaf9c713be2&xptdk=136d5f04-ac9c-40d7-9208-ecaf9c713be2,https://shopee.co.id/Makanan-Minuman-cat.11043451,promo basreng gr bumbu limpah
