title,price,sold,location,link,category_link
so eco nuget 1 kg,30.200,"5,9RB Terjual",KOTA JAKARTA SELATAN,https://shopee.co.id/so-eco-nuget-1-kg-i.22500079.19490480140?sp_atk=cdc5b441-db5b-4c25-b276-909b11d198e2&xptdk=cdc5b441-db5b-4c25-b276-909b11d198e2,https://shopee.co.id/Makanan-Segar-Beku-cat.11043451.11043529
Rendang lokan/kerang air tawar Khas pesisir selatan Sumatera barat,61.000,"1,1RB Terjual",KAB. PESISIR SELATAN,https://shopee.co.id/Rendang-lokan-kerang-air-tawar-Khas-pesisir-selatan-Sumatera-barat-i.562404997.25054881316?sp_atk=72c01091-0f01-4573-a839-0e1ad1b50687&xptdk=72c01091-0f01-4573-a839-0e1ad1b50687,https://shopee.co.id/Makanan-Instan-cat.11043451.11043564
SARI LEMON 500ML CHIA SEED PAKET DETOX 2 IN / SARI LEMON FRESH / SARI LEMON CALIFORNIA / SARI LEMON PURE / AIR LEMON / AIR LEMON ORIGINAL / JUS LEMON / SARI LEMON / SARI LEMON DARI BUMI / LEMOVITA / SARI LEMON GEMELI LEMOVITA NUTRILOGY OFFICIAL BEORGANIK,42.000,"1,4RB Terjual",KAB. TANGERANG,https://shopee.co.id/SARI-LEMON-500ML-CHIA-SEED-PAKET-DETOX-2-IN-SARI-LEMON-FRESH-SARI-LEMON-CALIFORNIA-SARI-LEMON-PURE-AIR-LEMON-AIR-LEMON-ORIGINAL-JUS-LEMON-SARI-LEMON-SARI-LEMON-DARI-BUMI-LEMOVITA-SARI-LEMON-GEMELI-LEMOVITA-NUTRILOGY-OFFICIAL-BEORGANIK-i.815740902.21995754718?sp_atk=86fd661c-ae59-49c5-b8fa-4afa230523bf&xptdk=86fd661c-ae59-49c5-b8fa-4afa230523bf,https://shopee.co.id/Minuman-cat.11043451.11043502
KANZLER Crispy Chicken Nugget 450 gr,38.700,10RB+ Terjual,KOTA BEKASI,https://shopee.co.id/KANZLER-Crispy-Chicken-Nugget-450-gr-i.8514341.10055133758?sp_atk=e5a7dc06-84d6-40e7-80db-b240f187bcf5&xptdk=e5a7dc06-84d6-40e7-80db-b240f187bcf5,https://shopee.co.id/Makanan-Segar-Beku-cat.11043451.11043529
BASRENG PIPIH TIPIS basreng remuk sangat crispy basreng viral setengah kg 500 gr,26.000,"7,4RB Terjual",KOTA BANJARMASIN,https://shopee.co.id/BASRENG-PIPIH-TIPIS-basreng-remuk-sangat-crispy-basreng-viral-setengah-kg-500-gr-i.123392685.15226447846?sp_atk=3686c99d-cdfe-4cee-9fcb-e262d044b2a5&xptdk=3686c99d-cdfe-4cee-9fcb-e262d044b2a5,https://shopee.co.id/Makanan-Ringan-cat.11043451.11043453
( BERKAH ) SUSU REAL GOOD BANTAL UHT 50 ML REALGOOD MINI STRAWBERRY COKLAT CHEESE BLACKCURRANT ANGGUR GUAVA ORANGE KEJU CHOCOLATE STROBERI CEMILAN ANAK SNACK MURAH,999,10RB+ Terjual,KOTA JAKARTA PUSAT,https://shopee.co.id/(-BERKAH-)-SUSU-REAL-GOOD-BANTAL-UHT-50-ML-REALGOOD-MINI-STRAWBERRY-COKLAT-CHEESE-BLACKCURRANT-ANGGUR-GUAVA-ORANGE-KEJU-CHOCOLATE-STROBERI-CEMILAN-ANAK-SNACK-MURAH-i.160072588.20152721334?sp_atk=5c3d3799-3b88-4542-9860-9a1430569de4&xptdk=5c3d3799-3b88-4542-9860-9a1430569de4,https://shopee.co.id/Susu-Olahan-cat.11043451.11043517
[ISI 10] Roti Cane Original isi 10 Pcs / Roti Canai / Roti Maryam / Roti Konde Original,14.000,10RB+ Terjual,KOTA BOGOR,https://shopee.co.id/-ISI-10-Roti-Cane-Original-isi-10-Pcs-Roti-Canai-Roti-Maryam-Roti-Konde-Original-i.60711393.2478441219?sp_atk=c19a00bc-4d1e-402a-b7a6-59270d066f31&xptdk=c19a00bc-4d1e-402a-b7a6-59270d066f31,https://shopee.co.id/Makanan-Minuman-cat.11043451
Kacang Campur 250gr dan Koro asin,10.000,207 Terjual,KAB. BOGOR,https://shopee.co.id/Kacang-Campur-250gr-dan-Koro-asin-i.12389666.13513226521?sp_atk=d447fed8-d607-416c-95fd-dcc404e75c20&xptdk=d447fed8-d607-416c-95fd-dcc404e75c20,https://shopee.co.id/Makanan-Minuman-Lainnya-cat.11043451.11043556
MURAH ~ Bubuk Minuman Plain 250 gram (ECR) / Bubuk Boba / Bubuk Thaitea / Powder Minuman / Powder drink,17.500,252 Terjual,KOTA PEKANBARU,https://shopee.co.id/MURAH-~-Bubuk-Minuman-Plain-250-gram-(ECR)-Bubuk-Boba-Bubuk-Thaitea-Powder-Minuman-Powder-drink-i.964840062.14399509198?sp_atk=647629a2-45e3-4891-916d-5619a126c94a&xptdk=647629a2-45e3-4891-916d-5619a126c94a,https://shopee.co.id/Makanan-Minuman-Lainnya-cat.11043451.11043556
[ HALAL ] Snack Latiao Wulama Strip Kembang Tahu,13.990,10RB+ Terjual,KOTA JAKARTA UTARA,https://shopee.co.id/-HALAL-Snack-Latiao-Wulama-Strip-Kembang-Tahu-i.221423324.23652322018?sp_atk=d125b42c-3be3-4d99-aa98-4305d10ffa62&xptdk=d125b42c-3be3-4d99-aa98-4305d10ffa62,https://shopee.co.id/Makanan-Minuman-cat.11043451
